Method,Image,Entropy,AG,VIF,Variance,SF,CC,QCV
our,1.jpg,7.476674242962552,4.722523734774705,0.636774176645134,53.34456739468499,15.209641036585632,0.784028586115411,1.0995427367425599
our,2.jpg,7.474348198193837,4.440871864351808,0.6749163292403983,54.532466050517634,14.65623611778868,0.7513434030031018,0.7942386577556109
our,3.jpg,7.525828688457997,5.552815965775725,0.6123153848992686,51.72067262328128,17.496265939765497,0.7437791498091969,1.4928932273585513
our,4.jpg,7.482711868876496,4.889775229719346,0.6463831242806992,53.83172799134256,15.108853806459294,0.7648001924043266,1.0491765229868824
our,5.jpg,7.499321125458959,4.625488257127962,0.6526183292569483,53.64816094592333,15.005048504200756,0.776443685393354,0.9085174143038549
our,6.jpg,7.52727435298189,4.416563684442155,1.2178223707954674,49.12987094683277,14.331725326224783,0.6624726518066797,0.8572997830279608
our,7.jpg,7.534751604159778,4.4130366915145105,1.2866299395078649,49.268715430103555,14.369858945443513,0.6433416818067521,1.1897246471197396
our,8.jpg,7.517402209338716,4.51511926681044,1.1807064273261854,49.344336440186964,14.510881228166815,0.6677257202304838,1.1313067509176316
our,9.jpg,7.521194127110623,4.544287406966077,1.2329670595639817,49.03465021239899,14.424437178525796,0.6549166595564913,0.8685402225939342
our,10.jpg,7.534116471352012,4.377477068801876,1.2744408453532623,49.36978515056006,14.083098306035867,0.6460509402966627,0.9035494447463537
our,11.jpg,7.567909285116177,4.948801581126776,1.0803617815649884,53.268129586128126,14.779327444280156,0.7842586073793358,1.2421407536243034
our,12.jpg,7.655080043611317,5.4750577601222075,1.1471065641688802,52.14822199500697,15.738101988749793,0.6386240979471995,0.44642512209306673
our,13.jpg,7.536400637281464,4.539485436090433,1.0588492636746996,52.68214315799514,14.835904328797474,0.7752407053045101,2.0451456645643122
our,14.jpg,7.342233752773108,6.079168548850795,0.5940389192492794,53.423237309700795,19.09379716563326,0.8650104195185628,5.053934741411604
our,15.jpg,7.468299870968128,5.867410537292206,0.6054135063939292,53.445609944467606,17.70151018061665,0.8308932938079865,2.5250309614220106
our,16.jpg,7.501037947908998,4.7173250802155735,0.6498885011694887,53.9922824588864,14.965316037727316,0.7705296352172439,1.082512957054413
