Method,Image,Entropy,AG,VIF,Variance,SF,CC,QCV
PIAFusion,1.jpg,6.973826465077918,4.848734224259169,0.5884906656481239,46.213124750668996,14.087071367749239,0.3296170264649399,2.9096576674186125
PIAFusion,2.jpg,7.0608568319316785,5.640061031109352,0.6178007345033182,40.56975870914475,14.449782576936183,0.39528650026151296,7.295729505579068
PIAFusion,3.jpg,6.631234355534541,3.60722606791397,0.5764694951476351,31.821346689184796,9.06410588879645,0.47556391419500077,2.179943493545068
PIAFusion,4.jpg,7.244307831875066,5.1056171622791835,0.7906646994749805,47.82533072786914,13.200437047069636,0.604988264233503,1.5637255542952995
PIAFusion,5.jpg,7.407932949350168,4.344517479258527,0.6449290057338457,52.41307966816346,10.279862100558384,0.750879786872678,0.49202697919142263
PIAFusion,6.jpg,6.962321860274271,3.132145926938605,0.7199715967443949,47.43619817042366,8.11412796365936,0.8154909824133549,6.142368661562037
PIAFusion,7.jpg,7.203981733550792,4.3033679116529635,0.6668838379336887,47.63632665950511,12.29091486014951,0.8633143385143334,15.760018328266993
PIAFusion,8.jpg,7.276315179849982,4.238637029337278,0.6931219546711975,42.60206324583964,12.0820297200769,0.7688832638771383,59.95622317380459
PIAFusion,9.jpg,7.0583954361010015,2.804477871588446,0.6607795617952671,42.943936783745535,8.621480757421306,0.8027225056878275,4.0376362524874665
PIAFusion,10.jpg,7.094595276075101,4.258148034229383,0.6375188519334858,37.98452997030881,11.919315344781353,0.7275805445238619,64.74649193700195
PIAFusion,11.jpg,7.370276668477541,4.257254205719119,0.6689610301338128,44.51462480401771,11.97828765998901,0.8028475510058017,2.45790269134732
PIAFusion,12.jpg,7.250359490695363,4.882715720132239,0.6825820304805008,42.77600883734368,13.474378256639891,0.801151836202548,13.023989247429062
PIAFusion,13.jpg,7.297264877370964,4.868810072134807,0.646298212375233,45.43310168663225,13.597029790248037,0.8064411086848722,13.789968070095018
PIAFusion,14.jpg,7.311413731359917,4.54177342757807,0.6783329305368351,44.65974794210416,12.655658411711228,0.8256360995757528,9.584421301081168
PIAFusion,15.jpg,7.238589269902814,4.397260674418182,0.6616417649161236,45.765997424198666,12.961239683593542,0.8332504776870528,14.382657872364048
PIAFusion,16.jpg,7.162882736885788,3.0503361662480457,0.6789611431118,40.949729249795006,9.152043850283912,0.7771930349537088,3.5109052988824914
PIAFusion,17.jpg,7.028854791025022,4.251496460839207,0.6832236197265615,39.7179880684636,11.851892514510526,0.8275515278701355,9.258733818515736
PIAFusion,18.jpg,7.20913637019992,3.973313887141449,0.5690312296037185,38.50792532413857,10.545558555644318,0.7714072922179114,7.084082973225038
PIAFusion,19.jpg,7.089136374752554,4.045548913568702,0.7619692167639988,44.66732357607064,10.233959866001074,0.8425966412476389,1.2859466045861014
PIAFusion,20.jpg,7.01932928024935,3.0611581290356717,0.8871684799613874,36.686170934624144,8.559470025536003,0.7941726242606794,4.70698340039853
PIAFusion,Average,7.144550575526987,4.180630019769119,0.6757400030597954,43.05621566111212,11.455932312067793,0.7308287660375126,12.208470641553852
PIAFusion,StdDev,0.17796898988799437,0.7452261335487702,0.07389836655856488,4.67906385169774,1.9914520112860292,0.15411700544703957,17.791274345408176
