Method,Image,Entropy,AG,MI,VIF,Qabf,Variance
CNN,1.jpg,7.55629906365278,6.807578944341405,2.3459398072856814,0.638969571183311,0.5690106001555151,51.984196345246254
CNN,2.jpg,7.378282152294542,7.3669855527557475,1.93207470946275,0.5569369298424087,0.5399374611543424,43.299947629476556
CNN,3.jpg,7.337310896975525,4.529592054332994,3.666860496158865,0.7179487155949877,0.5674567827351337,45.53832226372443
CNN,4.jpg,7.8588032966324715,6.877161253994301,4.742552098284666,0.9334913673113564,0.7258739943398231,69.73014241961877
CNN,5.jpg,7.666582835280315,5.355195730200755,4.311949816112829,0.9339005341308093,0.6786814274006181,70.22586875434169
CNN,6.jpg,7.317449385509429,4.05638186513557,3.3072739041213257,0.8311936794373106,0.5820760776589486,48.759564049681785
CNN,7.jpg,7.7655928470509785,6.836808889462486,4.642647773391129,0.8454561861567864,0.6704516000371348,59.09686183355701
CNN,8.jpg,7.721503692422566,7.129831775683397,3.40905146566009,0.8007061696356939,0.6751353212584655,54.89398298586737
CNN,9.jpg,7.787737006898189,5.596342890684691,3.5622760846222103,0.8935279758504581,0.7086611333860172,60.09516716919146
CNN,10.jpg,7.4603084044788535,6.6389098720213005,3.28505336214082,0.700844580974404,0.6083573674768078,44.76351406545407
CNN,11.jpg,7.718472170735617,7.4214864013408715,5.077491170805372,0.9784305204440891,0.7644766931405592,57.285923977500914
CNN,12.jpg,7.8342684435865415,7.953100635083142,3.4135450253366795,0.7826027722620652,0.6503235618550279,59.259175465733385
CNN,13.jpg,7.702505330399787,7.364037650618165,3.8008124178421383,0.7638304175564214,0.6385973843238515,58.185272251759045
CNN,14.jpg,7.773726888875845,6.916577902906067,4.191733121849962,0.8225220025859756,0.6544276762782976,57.58454219067934
CNN,15.jpg,7.785033012733927,7.235773138360732,4.00485743442896,0.8247070623533963,0.6641903228069416,59.08548830105218
CNN,16.jpg,7.7725670677206935,5.701569832287771,3.8525076988285054,0.9324500383039223,0.7336410729975672,60.81214308287859
CNN,17.jpg,7.6549542619008335,7.653889740159188,4.851062455897397,0.9608316045701815,0.7213905044702077,54.005496069617635
CNN,18.jpg,7.649921916672728,6.2800153808910295,3.7127539651149313,0.8111486720224856,0.6650732215486278,52.323583981559366
CNN,19.jpg,7.463759002836211,4.887966943762465,3.3831600571215468,0.8671948067195843,0.6086222334197705,48.885518525149365
CNN,20.jpg,7.147185555462367,4.301250030385347,2.9104838395097676,0.9270879350342334,0.6115835822455407,39.95328415978136
DenseFuse,1.jpg,7.0424092742653395,5.091542504813872,2.208471052412934,0.4530670945784757,0.4110664740731774,32.9765559176989
