Method,Image,Entropy,AG,VIF,Variance,SF,CC,QCV
RFN-Nest,01.png,6.642427362932665,2.5013079802734772,0.5002932873261667,26.262879397571933,5.766005293983246,0.39502129164390976,0.24900704158211973
RFN-Nest,02.png,7.0815366722624935,2.9569854571686474,0.45447159189732633,35.23789537740648,6.459546136748486,0.6182675642692987,0.775198052781154
RFN-Nest,03.png,7.088318190147218,2.6928671788436174,0.558752750985634,35.549616769388535,6.800395078380608,0.49128643294857655,0.4255486400128364
RFN-Nest,04.png,7.060902356287249,3.270253473317263,0.6318588433530358,33.232344625253376,7.468422897122421,0.4682829016798003,1.344210953054469
RFN-Nest,05.png,7.478300247818138,7.433664892402788,0.4783584020775892,55.580908117235815,14.94572061735885,0.40403596296507244,90.74328794066598
RFN-Nest,06.png,6.893351389216956,4.386668742307151,0.4777292779296209,32.00482924106231,8.157059474920933,0.4758529250646951,0.6404275766597112
RFN-Nest,07.png,7.166419170726721,2.343333676186234,0.45519320607688196,42.99007926203067,5.872403283296643,0.6528442701050963,2.247822301923219
RFN-Nest,08.png,6.536770780256306,5.233737752553126,0.8174802620392408,34.65557619587364,11.824074887122228,0.8637930002804071,122.06934057904748
RFN-Nest,09.png,6.990326827427191,3.3177982582935805,0.5290240724049533,39.70280861733285,6.81842435217218,0.6593537824078828,0.009342658740124297
RFN-Nest,10.png,7.0192628143276234,3.5698461414202227,0.3975723585057342,41.16250548417998,7.967989524560342,0.5267784610905347,0.8166162469117619
RFN-Nest,11.png,6.904414740703725,2.8834141981133783,0.542374478670023,35.53167077894728,6.068327873030855,0.6565071688387131,344.3153565201282
RFN-Nest,12.png,7.075279666077224,2.4096356305119278,0.8549596352728065,56.381282560511046,5.69408318320821,0.5373888143550727,0.5140696301584725
RFN-Nest,13.png,6.270910630433917,3.228833424782833,0.48802128707711573,19.02470979283543,6.060331517194516,0.5140190153793274,0.7173269138876522
RFN-Nest,14.png,7.075079711819163,1.6599241223432986,0.6658543221190414,36.661064380169755,3.603468130839137,0.8494639026248227,2.5347637743054943
