Method,Image,Entropy,AG,VIF,Variance,SF,CC,QCV
Abl,1.jpg,7.550844714757245,2.9127690989732673,0.7526596108864995,55.39561510719825,12.748124011234596,0.7650945654161992,1.9572540630352468
Abl,2.jpg,7.566316362220334,2.7358549821133855,0.7558655424894491,55.14054665941252,12.402188234764175,0.7295964481843146,1.2726442928246604
Abl,3.jpg,7.215806910465998,4.694121942649809,0.6774052293557538,46.93248137512375,17.955287496462716,0.7455554502593822,2.4955810145417594
Abl,4.jpg,7.5417088097682825,3.046061949873248,0.7531536949295463,55.497437982673404,12.955453614457788,0.7407405489057168,1.7308129713988074
Abl,5.jpg,7.5355559351198576,2.8375993546536873,0.7550856816124173,55.11185651810125,12.41581222624724,0.7614318014041733,1.4884531775002077
Abl,6.jpg,7.223356171985131,2.1281177197037486,0.85556092241787,47.305781578689974,9.548857333373348,0.6250707188598901,5.809333451034839
Abl,7.jpg,7.227635887657836,2.2680512636385526,0.8910245877257309,46.61602436606712,9.951255562617197,0.6068930762484234,7.606075138690456
Abl,8.jpg,7.261650695278334,2.140124738551797,0.8529947467354648,47.876747605884454,9.547925061854892,0.617859848590388,6.927314832474451
Abl,9.jpg,7.225768846321897,2.0930418923230953,0.8522010710700029,47.750140066730545,9.438265072753394,0.6145174975227322,6.9818322922550635
Abl,10.jpg,7.228968424382549,2.207459289804,0.8577636954470496,47.71420342565429,9.636950041793009,0.6085804790557168,7.142473718702937
Abl,11.jpg,7.462071609280715,2.5501894936132885,0.8820680368589493,48.80510023334616,10.297905194548855,0.7213676370362572,1.643596099548714
Abl,12.jpg,7.42326857553153,2.4026798005646826,0.8982408022235362,50.814581545481076,9.435314649026353,0.5803011724702302,0.981999472273849
Abl,13.jpg,7.358091991238205,2.1531471642022235,0.7843482693334782,52.39872979788391,9.930381682216987,0.7272997364633389,7.672646513334833
Abl,14.jpg,7.410316723648098,4.084643935980893,0.7153953013330381,56.0259512897015,16.111585739341308,0.8542674402503373,5.484349615156828
Abl,15.jpg,7.547689952193952,3.581656223636226,0.6842870566668311,60.329883526696875,13.347399635384216,0.806068936300658,2.9595722526699606
Abl,16.jpg,7.569158112157104,2.9603527039694737,0.7431228975914591,54.414989492656474,12.589679909676821,0.7440755712428826,1.693149998457675
Abl,17.jpg,7.320551921422178,2.68342720293426,0.7278751620212223,50.45565214663032,11.783244736719467,0.6467128461032603,3.6727542802686397
Abl,18.jpg,7.006215335578327,4.270767608836643,0.7633975792007777,49.277496179892616,14.561630911898321,0.5605176694643478,4.098485530457076
Abl,19.jpg,7.512844832773157,2.133620032949518,0.8500483584082656,53.45239516884203,8.458069219492318,0.721516337057545,0.5626039980981988
Abl,20.jpg,7.115557169717737,2.9121224975630446,0.8340684810192215,42.5593369765403,12.944799390993781,0.547453956925119,25.57812587313741
Abl,Average,7.365168949074923,2.8397904448267424,0.794328336366328,51.19374755216034,11.80300648624284,0.6862460868880457,4.88795292929308
Abl,StdDev,0.17012382797259148,0.7682730416534215,0.07020667135821895,4.3810171112769885,2.4892868523357117,0.08708234569781252,5.465105403524712
